,original_tweet_id,retweet_id,type,created_at,source,favorite_count,retweet_count,original_author
0,1294411270452580354,1297684697489657857,retweet,Sun Aug 23 23:58:36 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,1773,tucsonrosie2001
1,1294411270452580354,1296314510827909120,retweet,Thu Aug 20 05:13:58 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,1773,joshua41597103
2,1294411270452580354,1295856534371606528,retweet,Tue Aug 18 22:54:08 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,1773,RyanBonfiglio2
3,1294411270452580354,1295461302488498177,retweet,Mon Aug 17 20:43:37 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,1773,Bridget49291613
4,1294411270452580354,1295454593787338759,retweet,Mon Aug 17 20:16:58 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1773,Gwydion620
5,1294411270452580354,1295330874112782336,retweet,Mon Aug 17 12:05:21 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1773,ACLAYsuper
6,1294411270452580354,1295313133624537088,retweet,Mon Aug 17 10:54:51 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,1773,darlynn_lynn
7,1294411270452580354,1295311262180675585,retweet,Mon Aug 17 10:47:25 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1773,hagmom58
8,1294411270452580354,1295255274794745857,retweet,Mon Aug 17 07:04:56 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,1773,shmr50
9,1294411270452580354,1295243060373159937,retweet,Mon Aug 17 06:16:24 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,1773,khcacouris
10,1294411270452580354,1295102525344014339,retweet,Sun Aug 16 20:57:58 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,1773,JJSchmit
11,1294411270452580354,1295091114417049602,retweet,Sun Aug 16 20:12:37 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1773,netdog713
12,1294411270452580354,1295077495528656897,retweet,Sun Aug 16 19:18:30 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,1773,amtkf40291
13,1294411270452580354,1295066194068869123,retweet,Sun Aug 16 18:33:36 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1773,Ej_Pasco
14,1294411270452580354,1295062627069177872,retweet,Sun Aug 16 18:19:26 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1773,UMWaterSki78
15,1294411270452580354,1295062109802258434,retweet,Sun Aug 16 18:17:22 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1773,time_pete
16,1294411270452580354,1295058396375183360,retweet,Sun Aug 16 18:02:37 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,1773,DirigoDouglas
17,1294411270452580354,1295029049316667392,retweet,Sun Aug 16 16:06:00 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,1773,andytoronto
0,1294399217516060674,1300004963381399552,retweet,Sun Aug 30 09:38:30 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,8842,sannemae14
1,1294399217516060674,1298246067620917250,retweet,Tue Aug 25 13:09:17 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,8842,ELhazlegrove
2,1294399217516060674,1297701482788278272,retweet,Mon Aug 24 01:05:18 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,8842,leccl2012
3,1294399217516060674,1296519295774711810,retweet,Thu Aug 20 18:47:42 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,8842,stephenrea2
4,1294399217516060674,1296314515668123651,retweet,Thu Aug 20 05:13:59 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,8842,joshua41597103
5,1294399217516060674,1296196655641800704,retweet,Wed Aug 19 21:25:39 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,8842,miishmiish
6,1294399217516060674,1295869749377859585,retweet,Tue Aug 18 23:46:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,8842,gojiberrygranol
7,1294399217516060674,1295859607366115328,retweet,Tue Aug 18 23:06:20 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,8842,redrandyman62
8,1294399217516060674,1295856499831590914,retweet,Tue Aug 18 22:54:00 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,8842,RyanBonfiglio2
9,1294399217516060674,1295773196365463553,retweet,Tue Aug 18 17:22:58 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,8842,zephtx
10,1294399217516060674,1295773142422622208,retweet,Tue Aug 18 17:22:46 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,8842,ElGrogan1
11,1294399217516060674,1295770833638559748,retweet,Tue Aug 18 17:13:35 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,8842,CicerosLogic
12,1294399217516060674,1295759391690350592,retweet,Tue Aug 18 16:28:07 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,8842,dot2222
13,1294399217516060674,1295706516574441472,retweet,Tue Aug 18 12:58:01 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,8842,travellingpeas
14,1294399217516060674,1295706436727533568,retweet,Tue Aug 18 12:57:42 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,8842,GayCarBoys
15,1294399217516060674,1295661912894521344,retweet,Tue Aug 18 10:00:46 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,8842,fortmari14
16,1294399217516060674,1295540808729407488,retweet,Tue Aug 18 01:59:33 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,8842,kjvela
0,1294395958009241602,1296314568642191360,retweet,Thu Aug 20 05:14:12 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,109,joshua41597103
1,1294395958009241602,1295925307166187521,retweet,Wed Aug 19 03:27:25 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,109,beagleworld3
2,1294395958009241602,1295856452100382721,retweet,Tue Aug 18 22:53:48 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,109,RyanBonfiglio2
3,1294395958009241602,1295543180105076736,retweet,Tue Aug 18 02:08:58 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,109,GeNeB016u
4,1294395958009241602,1295062168174436352,retweet,Sun Aug 16 18:17:36 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,109,time_pete
5,1294395958009241602,1295032544895864838,retweet,Sun Aug 16 16:19:53 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,109,olbyh
6,1294395958009241602,1294868890602950659,retweet,Sun Aug 16 05:29:35 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,109,terry16942
7,1294395958009241602,1294848963233816578,retweet,Sun Aug 16 04:10:24 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,109,keriRN
8,1294395958009241602,1294718766836785153,retweet,Sat Aug 15 19:33:03 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,109,CCorjulo
9,1294395958009241602,1294693107678625797,retweet,Sat Aug 15 17:51:05 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,109,vivavelo
10,1294395958009241602,1294687515794984960,retweet,Sat Aug 15 17:28:52 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,109,miminjesse
11,1294395958009241602,1294672025647284224,retweet,Sat Aug 15 16:27:19 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,109,Ambular727
12,1294395958009241602,1294654658103910409,retweet,Sat Aug 15 15:18:18 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,109,Gwydion620
13,1294395958009241602,1294649404033507329,retweet,Sat Aug 15 14:57:26 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,109,NDentse
14,1294395958009241602,1294635733198745600,retweet,Sat Aug 15 14:03:06 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,109,takingaction4us
15,1294395958009241602,1294605478052409344,retweet,Sat Aug 15 12:02:53 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,109,BrendaMerryfie1
16,1294395958009241602,1294556451546038272,retweet,Sat Aug 15 08:48:04 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,109,pete_vote
17,1294395958009241602,1294541156311867398,retweet,Sat Aug 15 07:47:17 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,109,tpagayz
0,1294395956901937153,1296314546252951554,retweet,Thu Aug 20 05:14:06 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,142,joshua41597103
1,1294395956901937153,1295860697168064514,retweet,Tue Aug 18 23:10:40 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,142,BrianELogan
2,1294395956901937153,1295856439286784005,retweet,Tue Aug 18 22:53:45 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,142,RyanBonfiglio2
3,1294395956901937153,1295068454240821254,retweet,Sun Aug 16 18:42:35 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,142,slcol
4,1294395956901937153,1295062275523407873,retweet,Sun Aug 16 18:18:02 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,142,time_pete
5,1294395956901937153,1295025372694806528,retweet,Sun Aug 16 15:51:23 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,142,CorridorCAN
6,1294395956901937153,1295007476337631232,retweet,Sun Aug 16 14:40:17 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,142,adellos
7,1294395956901937153,1294897244731314177,retweet,Sun Aug 16 07:22:15 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,142,PeteIpad
8,1294395956901937153,1294849024831287296,retweet,Sun Aug 16 04:10:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,142,keriRN
9,1294395956901937153,1294833592670003200,retweet,Sun Aug 16 03:09:19 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,142,Betsy_AJ
10,1294395956901937153,1294769395655487490,retweet,Sat Aug 15 22:54:14 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,142,Gwydion620
11,1294395956901937153,1294739431614754816,retweet,Sat Aug 15 20:55:10 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,142,179West
12,1294395956901937153,1294732341517131781,retweet,Sat Aug 15 20:26:59 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,142,redbirdspn
13,1294395956901937153,1294731211760447491,retweet,Sat Aug 15 20:22:30 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,142,heatherhaney1
14,1294395956901937153,1294727534819651584,retweet,Sat Aug 15 20:07:53 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,142,Isabellarowling
15,1294395956901937153,1294718753406689282,retweet,Sat Aug 15 19:33:00 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,142,CCorjulo
16,1294395956901937153,1294694129348366338,retweet,Sat Aug 15 17:55:09 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,142,Ivy_Device
17,1294395956901937153,1294691158774472707,retweet,Sat Aug 15 17:43:21 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,142,hwale14
0,1294395955601649664,1295007365209583618,retweet,Sun Aug 16 14:39:50 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,98,adellos
1,1294395955601649664,1294833570322755584,retweet,Sun Aug 16 03:09:14 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,98,Betsy_AJ
2,1294395955601649664,1294732325943640066,retweet,Sat Aug 15 20:26:56 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,98,redbirdspn
3,1294395955601649664,1294718733546663937,retweet,Sat Aug 15 19:32:55 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,98,CCorjulo
4,1294395955601649664,1294704852623331329,retweet,Sat Aug 15 18:37:45 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,98,brookemarie_1
5,1294395955601649664,1294694115859476481,retweet,Sat Aug 15 17:55:06 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,98,Ivy_Device
6,1294395955601649664,1294671947847086081,retweet,Sat Aug 15 16:27:00 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,98,Ambular727
7,1294395955601649664,1294665941146578944,retweet,Sat Aug 15 16:03:08 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,98,shyredmd
8,1294395955601649664,1294665531455414278,retweet,Sat Aug 15 16:01:31 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,98,Kathryn_Henry
9,1294395955601649664,1294649435067232257,retweet,Sat Aug 15 14:57:33 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,98,NDentse
10,1294395955601649664,1294646505438162946,retweet,Sat Aug 15 14:45:54 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,98,roscoe_p_ny
11,1294395955601649664,1294630225549103105,retweet,Sat Aug 15 13:41:13 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,98,BeHappyandCivil
12,1294395955601649664,1294621317937991683,retweet,Sat Aug 15 13:05:49 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,98,LynnOvermann
13,1294395955601649664,1294619061385666561,retweet,Sat Aug 15 12:56:51 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,98,bidenbuttigieg1
14,1294395955601649664,1294615077979447296,retweet,Sat Aug 15 12:41:02 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,98,zheinpathos
15,1294395955601649664,1294597891135242241,retweet,Sat Aug 15 11:32:44 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,98,felicgr
16,1294395955601649664,1294570822208761857,retweet,Sat Aug 15 09:45:10 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,98,MaryHoward7
17,1294395955601649664,1294559195883286528,retweet,Sat Aug 15 08:58:58 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,98,victoria_parc
0,1294395954615984133,1296314536870293504,retweet,Thu Aug 20 05:14:04 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,673,joshua41597103
1,1294395954615984133,1296262671608606720,retweet,Thu Aug 20 01:47:58 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,673,crtreeproject
2,1294395954615984133,1295856422706716672,retweet,Tue Aug 18 22:53:41 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,673,RyanBonfiglio2
3,1294395954615984133,1295477863718641665,retweet,Mon Aug 17 21:49:26 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,673,SanDiegoforPete
4,1294395954615984133,1295321560153292800,retweet,Mon Aug 17 11:28:20 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,673,rcmckill
5,1294395954615984133,1295196149587087362,retweet,Mon Aug 17 03:10:00 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,673,lucasbentley512
6,1294395954615984133,1295062242338070528,retweet,Sun Aug 16 18:17:54 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,673,time_pete
7,1294395954615984133,1295051870931689480,retweet,Sun Aug 16 17:36:41 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,673,Elijahvasser
8,1294395954615984133,1295020329115369473,retweet,Sun Aug 16 15:31:21 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,673,shbldr
9,1294395954615984133,1295007497342685191,retweet,Sun Aug 16 14:40:22 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,673,Davidlcurry1
10,1294395954615984133,1294959721473101824,retweet,Sun Aug 16 11:30:31 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,673,ericlangston357
11,1294395954615984133,1294929337548967938,retweet,Sun Aug 16 09:29:47 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,673,JDart710
12,1294395954615984133,1294897330802622464,retweet,Sun Aug 16 07:22:36 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,673,PeteIpad
13,1294395954615984133,1294858194167009280,retweet,Sun Aug 16 04:47:05 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,673,usncalhoya
14,1294395954615984133,1294849172512935937,retweet,Sun Aug 16 04:11:14 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,673,WalkMom1
0,1294337497863000064,1296314580415574016,retweet,Thu Aug 20 05:14:14 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,226,joshua41597103
1,1294337497863000064,1295856381149552644,retweet,Tue Aug 18 22:53:31 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,226,RyanBonfiglio2
2,1294337497863000064,1295370653009248256,retweet,Mon Aug 17 14:43:25 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,226,AllTheMeat1
3,1294337497863000064,1295142916470398976,retweet,Sun Aug 16 23:38:28 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,226,GottaWakeUpPlz
4,1294337497863000064,1294990904051326980,retweet,Sun Aug 16 13:34:25 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,226,luckyjnick
5,1294337497863000064,1294959217489715200,retweet,Sun Aug 16 11:28:31 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,226,roscoe_p_ny
6,1294337497863000064,1294869821025263616,retweet,Sun Aug 16 05:33:17 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,226,ArtTalkHawaii
7,1294337497863000064,1294667387170676738,retweet,Sat Aug 15 16:08:53 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,226,JordiZamoraMas2
8,1294337497863000064,1294665688695492609,retweet,Sat Aug 15 16:02:08 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,226,NowVintage
9,1294337497863000064,1294659883590066181,retweet,Sat Aug 15 15:39:04 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,226,JubieeTeach
10,1294337497863000064,1294654703171702785,retweet,Sat Aug 15 15:18:29 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,226,Gwydion620
11,1294337497863000064,1294636262062727174,retweet,Sat Aug 15 14:05:12 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,226,takingaction4us
12,1294337497863000064,1294602685509926914,retweet,Sat Aug 15 11:51:47 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,226,AnneK94
13,1294337497863000064,1294565354983821312,retweet,Sat Aug 15 09:23:27 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,226,GailUrso
14,1294337497863000064,1294499596895285248,retweet,Sat Aug 15 05:02:09 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,226,MoonBatsUnited
15,1294337497863000064,1294487201888243713,retweet,Sat Aug 15 04:12:53 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,226,geekspeeker
16,1294337497863000064,1294480309644386306,retweet,Sat Aug 15 03:45:30 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,226,MilitaryMomPat1
17,1294337497863000064,1294477147361419265,retweet,Sat Aug 15 03:32:56 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,226,busdrivinmomma1
0,1294269319250169856,1300293579257139207,retweet,Mon Aug 31 04:45:22 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,26975,IcewolfOrigins
1,1294269319250169856,1299601851709521920,retweet,Sat Aug 29 06:56:41 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,26975,LauraPr10100947
2,1294269319250169856,1298771386463408128,retweet,Wed Aug 26 23:56:43 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,26975,ChristianM_74
3,1294269319250169856,1298471063211388930,retweet,Wed Aug 26 04:03:20 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,26975,hamp_chris
4,1294269319250169856,1298339403111243778,retweet,Tue Aug 25 19:20:10 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,26975,Michael37011987
5,1294269319250169856,1298103007679258629,retweet,Tue Aug 25 03:40:49 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,26975,kelsb56
6,1294269319250169856,1298051801762222081,retweet,Tue Aug 25 00:17:20 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,26975,_idekyall_
7,1294269319250169856,1297636734763581442,retweet,Sun Aug 23 20:48:01 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,26975,SurinderCheem17
8,1294269319250169856,1297547303759360003,retweet,Sun Aug 23 14:52:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,26975,weeser1
9,1294269319250169856,1297417370613567489,retweet,Sun Aug 23 06:16:20 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,26975,kathy2550
10,1294269319250169856,1297298772276305920,retweet,Sat Aug 22 22:25:04 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,26975,Ecogir1
11,1294269319250169856,1297274252156997632,retweet,Sat Aug 22 20:47:38 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,26975,MegBuchner
12,1294269319250169856,1297244281443438594,retweet,Sat Aug 22 18:48:32 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,26975,Purpleology999
13,1294269319250169856,1297198776852131841,retweet,Sat Aug 22 15:47:43 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,26975,KeishaWSocial
14,1294269319250169856,1297185961684721664,retweet,Sat Aug 22 14:56:48 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,26975,PamelaLBogan1
15,1294269319250169856,1297171046227943424,retweet,Sat Aug 22 13:57:32 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,26975,brock134266
16,1294269319250169856,1297163199704424448,retweet,Sat Aug 22 13:26:21 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,26975,TAugustGreen1
0,1294053179227869190,1300792319541735427,retweet,Tue Sep 01 13:47:11 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,7380,duggo77777
1,1294053179227869190,1298997338761908231,retweet,Thu Aug 27 14:54:34 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,7380,ITSTIME21282401
2,1294053179227869190,1298997034469322753,retweet,Thu Aug 27 14:53:21 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,7380,isa97
