id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1294411270452580354,2020-08-14 23:11:10+00:00,Bernie is right.,Bernie right,1739,<UNK>,<UNK>,PeteButtigieg
1294399217516060674,2020-08-14 22:23:16+00:00,This is beyond alarming.,alarm,8776,<UNK>,<UNK>,PeteButtigieg
1294395958009241602,2020-08-14 22:10:19+00:00,"Extreme weather events are happening more and more often, and this is not just a coastal concern—it has come to impact Midwestern communities again and again. But I know the resilience and selflessness of Iowans, and I know how people will step up to support each other.",extreme weather event happen coastal concern come impact midwestern community know resilience selflessness Iowans know people step support,103,<UNK>,<UNK>,PeteButtigieg
1294395956901937153,2020-08-14 22:10:19+00:00,"Two other groups, @aid_ic and @ASJ_BLM, are focusing their movements on getting food and life-saving supplies directly to Iowans in need. Learn more and, if you can, please donate to support their work: —https://iowacitymutualaid.com —",group @aid_ic @ASJ_BLM focus movement get food life save supply directly Iowans need learn donate support work,134,<UNK>,@aid_ic @ASJ_BLM,PeteButtigieg
1294395955601649664,2020-08-14 22:10:19+00:00,"If you're within reach of Iowa and able to help, please consider signing up to volunteer this weekend. The @UnitedWayCI is doing terrific work to help get people the support they need even during this time of social distancing: https://unitedwayofeastcentraliowa.galaxydigital.com",reach Iowa able help consider sign volunteer weekend @UnitedWayCI terrific work help people support need time social distancing,98,<UNK>,@UnitedWayCI,PeteButtigieg
1294395954615984133,2020-08-14 22:10:18+00:00,"The news and images from Iowa after this week's storms are devastating. Communities like Cedar Rapids were so welcoming to us through the last year, and now we can all show support for those who are hurting amid this terrible damage. #Derecho2020",news image Iowa week storm devastating community like Cedar Rapids welcome year support hurt amid terrible damage Derecho2020,659,#Derecho2020,<UNK>,PeteButtigieg
1294337497863000064,2020-08-14 18:18:01+00:00,"Join us Wednesday for a Grassroots Happy Hour to support Win the Era help elect Democrats up and down the ballot. I'll welcome some special guests and we're bringing back the ""fishbowl"" from the campaign trail for a Q&A. Please chip in to get a ticket:",join Wednesday Grassroots Happy Hour support help elect Democrats ballot welcome special guest bring fishbowl campaign trail q&a. chip ticket,223,<UNK>,<UNK>,PeteButtigieg
1294269319250169856,2020-08-14 13:47:06+00:00,The president’s confession yesterday is stunning. He has now openly admitted to an agenda of undermining America’s postal system in order to make it harder for Americans to vote.,president confession yesterday stunning openly admit agenda undermine America postal system order hard Americans vote,26791,<UNK>,<UNK>,PeteButtigieg
1294053179227869190,2020-08-13 23:28:14+00:00,"“So called” plane? This is sickening. A Republican Party that just nominated this candidate for the U.S. House, with support from the sitting president, must ask itself what it has become.",call plane sicken Republican Party nominate candidate U.S. House support sit president,7384,<UNK>,<UNK>,PeteButtigieg
1293962254975737858,2020-08-13 17:26:56+00:00,Let’s be clear: an attack on the Postal Service is a decision to harm veterans.,clear attack Postal Service decision harm veteran,10153,<UNK>,<UNK>,PeteButtigieg
1293935130013294594,2020-08-13 15:39:09+00:00,"This death toll is mounting—and this is not going to just ""go away"" like the president says. We need to wear masks. And we need real leadership.",death toll mount go away like president say need wear mask need real leadership,828,<UNK>,<UNK>,PeteButtigieg
1293715539785854977,2020-08-13 01:06:35+00:00,I'm excited to gather next week for the @DemConvention and nominate @JoeBiden and @KamalaHarris. And I'm honored to be joining a terrific set of speakers on the final night. How will you be watching?,excited gather week @DemConvention nominate @JoeBiden @kamalaharris honor join terrific speaker final night watch,1691,<UNK>,@DemConvention @JoeBiden @KamalaHarris,PeteButtigieg
1293690680427122690,2020-08-12 23:27:48+00:00,Social Security is very much on the ballot in November.,Social Security ballot November,14637,<UNK>,<UNK>,PeteButtigieg
1293666164346957825,2020-08-12 21:50:23+00:00,Looking forward to a roundtable tomorrow with North Carolina veterans and military families to discuss @JoeBiden's plans to honor and support our service members and their families. Please sign up to join us:,look forward roundtable tomorrow North Carolina veteran military family discuss @JoeBiden plan honor support service member family sign join,595,<UNK>,@JoeBiden,PeteButtigieg
1293560227955179532,2020-08-12 14:49:26+00:00,It feels good to visualize the moment when Vice President Mike Pence is replaced by Vice President Kamala Harris.,feel good visualize moment Vice President Mike Pence replace Vice President Kamala Harris,15216,<UNK>,<UNK>,PeteButtigieg
1293287262084636675,2020-08-11 20:44:46+00:00,".@KamalaHarris fights tirelessly for justice, dignity, and equality for all Americans. I'm thrilled she's joining the ticket and can't wait to call her my Vice President.",.@KamalaHarris fight tirelessly justice dignity equality Americans thrill join ticket wait Vice President,14760,<UNK>,@KamalaHarris,PeteButtigieg
1293227258753187842,2020-08-11 16:46:20+00:00,Thank you! We need more to join you in this important way to support our democracy.,thank need join important support democracy,27,<UNK>,<UNK>,PeteButtigieg
1293210518984044544,2020-08-11 15:39:49+00:00,Trump's repeated attacks on our Postal Service should concern everyone. From supporting small businesses to delivering medicine and securely casting ballots—the USPS is as essential as it gets.,Trump repeat attack Postal Service concern support small business deliver medicine securely cast ballot USPS essential get,8732,<UNK>,<UNK>,PeteButtigieg
1292109185614843904,2020-08-08 14:43:30+00:00,This matters—a lot. Please fill out your census and urge your family and friends to do the same: https://2020census.gov,matter fill census urge family friend,1041,<UNK>,<UNK>,PeteButtigieg
1291744139952914434,2020-08-07 14:32:57+00:00,"One year later, this has come to be true in new and tragic proportions. America can’t go on like this.",year later come true tragic proportion America like,2504,<UNK>,<UNK>,PeteButtigieg
1291526138574012418,2020-08-07 00:06:41+00:00,The president's re-election strategy seems to depend on making it harder for Americans to vote. We can't let him succeed.,president election strategy depend make hard Americans vote succeed,6660,<UNK>,<UNK>,PeteButtigieg
1291445223340548097,2020-08-06 18:45:09+00:00,.@arenasummit is doing such important work to build and train a bench of candidates and campaign staff that reflect the diversity and strength of our country. Please chip in to support their efforts today: http://training.win/donate,.@arenasummit important work build train bench candidate campaign staff reflect diversity strength country chip support effort today,239,<UNK>,@arenasummit,PeteButtigieg
1291405674258354176,2020-08-06 16:08:00+00:00,"55 years ago today the Voting Rights Act of 1965 was signed into law. But progress is never guaranteed, and now it falls to us to restore what has eroded and expand access to the ballot by passing the John R. Lewis Voting Rights Act.",year today Voting Rights 1965 sign progress guarantee fall restore erode expand access ballot pass John Lewis Voting Rights,1623,<UNK>,<UNK>,PeteButtigieg
1291154996197818368,2020-08-05 23:31:54+00:00,"Great news out of Missouri. We've seen over and over that even in so-called ""red states"" voters are ahead of politicians in demanding progress when it comes to life and death issues like health care.",great news Missouri see call state voter ahead politician demand progress come life death issue like health care,620,<UNK>,<UNK>,PeteButtigieg
1291048621409017864,2020-08-05 16:29:12+00:00,"Being a poll worker has typically been viewed as a role for retirees and older Americans. But with the risk from COVID, we need a new generation to step up. This is a great way to get involved and protect our democracy in November!",poll worker typically view role retiree old Americans risk COVID need generation step great involve protect democracy November,2698,<UNK>,<UNK>,PeteButtigieg
1290825981004075009,2020-08-05 01:44:30+00:00,"Congratulations to @BarbaraBollier for winning the primary in Kansas tonight! We have the chance to elect her, and flip a Senate seat, in November but only if we work for it. Please chip in to join her team:",congratulation @barbarabollier win primary Kansas tonight chance elect flip Senate seat November work chip join team,791,<UNK>,@BarbaraBollier,PeteButtigieg
1290766836498300931,2020-08-04 21:49:29+00:00,"We need to push to protect and expand voting by mail, early voting, polling locations, and same-day registration. It has to be all of the above.",need push protect expand voting mail early voting polling location registration,3409,<UNK>,<UNK>,PeteButtigieg
1290666420473298949,2020-08-04 15:10:28+00:00,We needed a national testing strategy months ago. And we don't have months to wait for a national vaccination strategy.,need national testing strategy month month wait national vaccination strategy,346,<UNK>,<UNK>,PeteButtigieg
1290641649702514691,2020-08-04 13:32:02+00:00,"Wishing a Happy Birthday to @BarackObama, who by his words, actions, and example, continues to remind America what true presidential leadership looks like.",wish happy birthday @barackobama word action example continue remind America true presidential leadership look like,12278,<UNK>,@BarackObama,PeteButtigieg
1290415290065575937,2020-08-03 22:32:34+00:00,"One year ago today 23 innocent lives were cut short by an act of hate and gun violence. To honor their lives, and too many others, we must act to end both of these national emergencies. #ElPasoStrong",year today innocent life short hate violence honor life national emergency ElPasoStrong,877,#ElPasoStrong,<UNK>,PeteButtigieg
1290354567939526657,2020-08-03 18:31:17+00:00,Important read about the need to ensure that military leadership and oversight better reflect the diversity of the country and those who serve. Thanks to @RepAnthonyBrown for leading the way.,important read need ensure military leadership oversight well reflect diversity country serve thank @RepAnthonyBrown lead,289,<UNK>,@RepAnthonyBrown,PeteButtigieg
1290299880338886659,2020-08-03 14:53:58+00:00,"As difficult as this year has been, 2020 is our chance to change the trajectory of our nation and make the rest of this century a better era for America. Let's do everything in our power to build the future we want to see.",difficult year 2020 chance change trajectory nation rest century well America power build future want,2551,<UNK>,<UNK>,PeteButtigieg
1289924996090023937,2020-08-02 14:04:19+00:00,"Some things should be beyond politics, like funding the post office.",thing politic like fund post office,19553,<UNK>,<UNK>,PeteButtigieg
1289547203443191808,2020-08-01 13:03:06+00:00,"Congrats @maddow! Thank you for having me on and for reminding us each night that while we’ve come so far, we can’t let up in the struggle for sustained progress.",congrat @maddow thank have remind night come struggle sustained progress,1302,<UNK>,@maddow,PeteButtigieg
1289295895071043584,2020-07-31 20:24:30+00:00,We need real reforms to strengthen and improve our most important institutions—including our courts. So pleased this call for major reform of the federal judiciary will be included in our party's platform.,need real reform strengthen improve important institution include court please major reform federal judiciary include party platform,722,<UNK>,<UNK>,PeteButtigieg
1289222496428781568,2020-07-31 15:32:50+00:00,"We must continue to call out anti-Asian racism anywhere it surfaces, including the White House. We are all in this fight against COVID together and this type of hate has no place in America.",continue anti asian racism surface include White House fight COVID type hate place America,789,<UNK>,<UNK>,PeteButtigieg
1289196284490870784,2020-07-31 13:48:40+00:00,"Trust is foundational to our democratic system. If even the president is working to undermine it, we, the people, will need more ways to build it up.",trust foundational democratic system president work undermine people need way build,592,<UNK>,<UNK>,PeteButtigieg
1289195944387342336,2020-07-31 13:47:19+00:00,Eid Mubarak to our Muslim friends across the country and around the world today on #EidAlAdha.,Mubarak muslim friend country world today eidaladha,675,#EidAlAdha,<UNK>,PeteButtigieg
1289002606589816833,2020-07-31 00:59:04+00:00,The HEROES Act has $3.6 billion dedicated to funding our elections. The Senate should pass it immediately so that no American has to choose between their health and their right to vote this fall.,HEROES billion dedicate fund election Senate pass immediately American choose health right vote fall,1488,<UNK>,<UNK>,PeteButtigieg
1288934490438541312,2020-07-30 20:28:24+00:00,To learn more about these terrific candidates—and join their campaigns—visit our website: http://www.wintheera.com/endorsements,learn terrific candidate join campaign visit website,66,<UNK>,<UNK>,PeteButtigieg
1288934486844084224,2020-07-30 20:28:23+00:00,.@HaleIndy is a lifelong Hoosier who has been an effective leader for Indiana working families. Her experience as a single mom and as an accomplished legislator mean that she understands the challenges Hoosiers are going through and will get things done.,.@HaleIndy lifelong Hoosier effective leader Indiana work family experience single accomplished legislator mean understand challenge hoosier go thing,121,<UNK>,@HaleIndy,PeteButtigieg
1288934483589320712,2020-07-30 20:28:22+00:00,I'm ready for @HackettCongress to be my Representative. Her campaign message of Dignity and Justice for All represents the change we need to better serve South Bend and everyone in Indiana's Second Congressional District.,ready @HackettCongress Representative campaign message Dignity Justice represent change need better serve South Bend Indiana Second Congressional District,58,<UNK>,@HackettCongress,PeteButtigieg
1288934480577810434,2020-07-30 20:28:22+00:00,".@WeinzapfelforAG is highly respected among Indiana mayors. He is a lifelong public servant who has spent his career working for Hoosier families. As AG, he will strengthen our state and protect our health care from attempts to take it away.",.@WeinzapfelforAG highly respected Indiana mayor lifelong public servant spend career work Hoosier family strengthen state protect health care attempt away,62,<UNK>,@WeinzapfelforAG,PeteButtigieg
1288934477931085824,2020-07-30 20:28:21+00:00,".@DrWoodyMyers' intellect, integrity, and passion for helping Hoosiers are so needed in our politics—and his expertise and vast experience will serve us well in midst of a public health crisis. I'm proud to support his history-making candidacy to be our next Governor.",.@DrWoodyMyers intellect integrity passion help Hoosiers need politic expertise vast experience serve midst public health crisis proud support history make candidacy Governor,69,<UNK>,@DrWoodyMyers,PeteButtigieg
1288934477184499712,2020-07-30 20:28:21+00:00,Today I'm proud to endorse fellow Hoosiers who are effective leaders in their communities and have dedicated themselves to public service. They will make Indiana a more inclusive and prosperous state.,today proud endorse fellow hoosier effective leader community dedicate public service Indiana inclusive prosperous state,187,<UNK>,<UNK>,PeteButtigieg
1288927490082320385,2020-07-30 20:00:35+00:00,Amen,amen,1792,<UNK>,<UNK>,PeteButtigieg
1288906713417093120,2020-07-30 18:38:01+00:00,"Today brought the worst US GDP numbers in the history of US GDP numbers. And behind those numbers are communities and livelihoods wrecked. This level of economic devastation could have been avoided. More importantly, it could get worse. We need a new president.",today bring bad number history number number community livelihood wreck level economic devastation avoid importantly bad need president,5386,<UNK>,<UNK>,PeteButtigieg
